Stages,C_Pt_in [M],C_Pd_in [M],C_Rh_in [M],q_Pt_in [mol PGM/mol ddFc],q_Pd_in [mol PGM/mol ddFc],q_Rh_in [mol PGM/mol ddFc],C_Pt_out [M],C_Pd_out [M],C_Rh_out [M],q_Pt_out [mol PGM/mol ligand],q_Pd_out [mol PGM/mol ligand],q_Rh_out [mol PGM/mol ligand],Material Residual Pt [mol PGM/time],Material Residual Pd [mol PGM/time],Material Residual Rh [mol PGM/time],Q_org [L/time],PGM Recovery [%],PPM Mass Total Feed [mg/L],PGM Relative Purity [%],Q_aq [L/time],C_lig [L/time],Q_aq/(Q_org*C_lig) [1/M],Ligand,q_max_Pt,q_max_Pd,q_max_Rh,K_eq_Pt,K_eq_Pd,K_eq_Rh
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7577019858217363e-05,1.916091149306876e-07,0.00033760395041692535,0.11989965644552202,0.12126756846021038,0.00038847859868759786,-5.7117938850881345e-15,-2.427645758029673e-13,-1.3196773318222e-17,0.1270945118813101,98.55861182733534,500.0,95,1,0.1,78.68160357182623,ddFc,0.2851728877235839,0.5623256731046884,0.0037605549362723,1597.1954279022968,2648.75250682862,1142.6530225115073
5,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7787701570276023e-05,6.187157696011736e-08,0.00033914188976055646,0.1350591488909912,0.13663040109539396,0.0003013303835894591,-2.7690523485279783e-16,-8.551753055696665e-15,-9.901815153402771e-19,0.11281339782322422,99.0075910723819,500.0,95,1,0.1,88.641953818905,ddFc,0.2851728877235839,0.5623256731046884,0.0037605549362723,1597.1954279022968,2648.75250682862,1142.6530225115073
6,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.785948592495599e-05,1.946108305969792e-08,0.00033970000015395467,0.14155561058980798,0.1432131288261492,0.0002639854311039235,-8.673617379884035e-18,-5.616167253474913e-17,-8.809142651444724e-20,0.1076309415534601,99.17052336494483,500.0,95,1,0.1,92.91008566558916,ddFc,0.2851728877235839,0.5623256731046884,0.0037605549362723,1597.1954279022968,2648.75250682862,1142.6530225115073
7,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7882763256311597e-05,6.0447935069220625e-09,0.00033988735293049503,0.14387903418208373,0.14556724906871824,0.0002506295144240996,-1.236966258588712e-14,-1.2649516850649078e-13,-1.8143445730187113e-18,0.10589125068413346,99.2252183101758,500.0,95,1,0.1,94.43650854431148,ddFc,0.2851728877235839,0.5623256731046884,0.0037605549362723,1597.1954279022968,2648.75250682862,1142.6530225115073
8,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7889997835221393e-05,1.8684098679329354e-09,0.0003399454529349001,0.1446151380932417,0.14631308128476336,0.00024639810519087803,-1.3791051634015616e-16,-8.022662395523739e-15,-1.5670109524204556e-19,0.10535175453783711,99.24217976982182,500.0,95,1,0.1,94.92010877150125,ddFc,0.2851728877235839,0.5623256731046884,0.0037605549362723,1597.1954279022968,2648.75250682862,1142.6530225115073
9,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7892196242813945e-05,5.765774309348787e-10,0.00033996268358339597,0.144834891447467,0.14653574904752711,0.0002451348586336972,-2.7733891572179203e-16,-8.331920223203504e-14,-3.8116482626443515e-20,0.10519175589886175,99.24721000952884,500.0,95,1,0.1,95.06448404202564,ddFc,0.2851728877235839,0.5623256731046884,0.0037605549362723,1597.1954279022968,2648.75250682862,1142.6530225115073
10,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7892858681946447e-05,1.7801154391536663e-10,0.0003399676971919315,0.14489895711255657,0.14660066890978815,0.0002447665700617852,-2.2256502196782435e-15,-2.1719885005128114e-12,-1.8041801776516597e-19,0.10514520066954976,99.24867366034482,500.0,95,1,0.1,95.10657582392173,ddFc,0.2851728877235839,0.5623256731046884,0.0037605549362723,1597.1954279022968,2648.75250682862,1142.6530225115073
11,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7893062737664025e-05,5.850183000940206e-11,0.00033996914568807973,0.14491747531349577,0.14661943977759165,0.0002446601050731655,-2.1175118949945393e-14,-4.6153790208072754e-11,-7.894347068410079e-19,0.10513175066762794,99.24909652793696,500.0,95,1,0.1,95.11874325782715,ddFc,0.2851728877235839,0.5623256731046884,0.0037605549362723,1597.1954279022968,2648.75250682862,1142.6530225115073
12,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.7893120243011626e-05,1.9427553673781267e-11,0.0003399695631433467,0.14492281369815016,0.14662484887455418,0.00024462941767069795,-6.829172644051695e-15,-3.3158397685570384e-11,-4.819617469876969e-19,0.10512787405974922,99.24921839799079,500.0,95,1,0.1,95.12225077733922,ddFc,0.2851728877235839,0.5623256731046884,0.0037605549362723,1597.1954279022968,2648.75250682862,1142.6530225115073
3,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.55146504206309e-05,8.12059602833592e-07,0.00031020749035032025,0.07002139254999945,0.07069606427158574,0.001483732182041857,-2.0491421059976034e-16,-2.9386215683047112e-15,-1.1567081927704725e-17,0.21792214420907446,90.56060981991494,500.0,95,1,0.1,45.88794790127432,ddFc,0.288925190848294,0.5594362630553866,0.0040362936298315,1930.002060264714,2795.355140836561,3905.038103029412
4,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.674374968627455e-05,3.3848879311102286e-07,0.00032456253110851435,0.09703624468124511,0.09808032756581156,0.001144225929719659,-3.183434418851938e-15,-1.7885996503319568e-13,-2.6776405528602942e-17,0.15712604153694568,94.7513572566828,500.0,95,1,0.1,63.64317399066315,ddFc,0.288925190848294,0.5594362630553866,0.0040362936298315,1930.002060264714,2795.355140836561,3905.038103029412
5,0.0015414358509205455,0.0015414358509205455,0.0003425413002045657,0,0,0,1.724339983560327e-05,1.320944872364368e-07,0.0003301343921339244,0.11413915337322338,0.11542053353706337,0.0009290913244908312,-8.087714525872869e-15,-5.962467932579818e-13,-2.222614453595284e-17,0.13353808978318563,96.37798184825247,500.0,95,1,0.1,74.88500109771036,ddFc,0.288925190848294,0.5594362630553866,0.0040362936298315,1930.002060264714,2795.355140836561,3905.038103029412
